Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Minsta temperatur,Dekompression,Bästa varvtid,Antal varv,Maximal temperatur,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-09-30 12:01:09,false,"Kungälv Löpning","7.62","505","00:31:41","148","159","3.5","167","178","4:10","3:30","55","72","1.44","--","--","--","--","0.0","5,314","20.0","Nej","00:02:31.5","8","28.0","--","--","--","00:31:30","00:31:41","5","44"
Löpning,2025-09-29 18:07:28,false,"Kungälv Löpning","8.13","576","01:01:31","109","168","2.3","105","228","7:34","2:36","115","118","1.18","--","--","--","--","0.0","6,812","18.0","Nej","00:00:52","24","27.0","13","13","13","00:44:35","01:01:31","3","50"
Löpning,2025-09-27 16:06:28,false,"Kungälv Löpning","24.20","1,706","02:03:44","136","157","4.1","158","215","5:07","3:51","219","209","1.23","--","--","--","--","0.0","19,664","22.0","Nej","00:01:07.3","25","31.0","--","--","--","02:00:59","02:09:09","9","85"
Löpning,2025-09-25 17:21:22,false,"Kungälv Löpning","11.19","813","01:11:09","116","168","3.3","128","187","6:22","3:16","74","77","1.18","--","--","--","--","0.0","9,422","20.0","Nej","00:03:00.7","14","28.0","--","--","--","00:58:53","01:15:11","15","48"
Löpning,2025-09-25 12:02:28,false,"Kungälv Löpning","7.56","530","00:37:16","130","145","3.0","158","240","4:56","3:41","59","60","1.29","--","--","--","--","0.0","5,876","22.0","Nej","00:02:38.7","8","28.0","--","--","--","00:35:29","00:37:16","3","32"
Löpning,2025-09-24 18:14:47,false,"Kungälv Löpning","10.15","750","01:10:40","119","171","3.1","108","210","6:58","2:42","130","106","1.27","--","--","--","--","0.0","7,984","17.0","Nej","00:00:18.4","20","23.0","--","--","--","00:48:36","01:10:40","10","50"
Löpning,2025-09-22 18:15:48,false,"Kungälv Löpning","5.31","423","00:44:51","107","162","2.1","122","198","8:27","3:42","157","158","0.94","--","--","--","--","0.0","5,612","17.0","Nej","00:00:25.4","23","23.0","--","--","--","00:35:29","00:44:51","37","68"
Löpning,2025-09-22 12:02:09,false,"Kungälv Löpning","7.51","496","00:38:00","120","136","2.4","161","200","5:04","4:14","69","71","1.22","--","--","--","--","0.0","6,118","18.0","Nej","00:02:34.3","8","27.0","--","--","--","00:37:42","00:38:00","-45","-9"
Löpning,2025-09-21 09:35:30,false,"Kungälv Löpning","9.89","723","00:49:16","137","159","3.2","163","169","4:59","4:04","81","110","1.23","--","--","--","--","0.0","8,022","23.0","Nej","00:04:28.2","10","31.0","--","--","--","00:49:05","00:49:50","21","61"
Löpning,2025-09-20 08:59:48,false,"Kungälv Löpning","32.07","2,381","02:54:39","141","168","4.8","156","228","5:27","0:38","146","160","1.17","--","--","--","--","0.0","27,438","23.0","Nej","00:00:27.3","33","30.0","--","--","--","02:51:16","02:54:39","-0","46"
Löpning,2025-09-19 11:58:00,false,"Kungälv Löpning","7.55","563","00:35:45","143","159","3.3","161","171","4:44","4:04","118","72","1.32","--","--","--","--","0.0","5,770","22.0","Nej","00:02:35.3","8","28.0","--","--","--","00:35:13","00:35:45","3","43"
Löpning,2025-09-17 18:14:52,false,"Kungälv Löpning","7.35","559","01:01:43","108","169","2.7","93","214","8:24","2:28","111","89","1.31","--","--","--","--","0.0","6,362","19.0","Nej","00:00:35.0","34","24.0","--","--","--","00:41:50","01:01:43","8","50"
Löpning,2025-09-15 12:07:25,false,"Kungälv Löpning","7.62","500","00:35:47","128","142","2.6","161","173","4:42","3:57","56","65","1.32","--","--","--","--","0.0","5,786","17.0","Nej","00:03:02.6","8","28.0","--","--","--","00:35:28","00:35:47","109","149"
Löpning,2025-09-14 07:48:01,false,"Kungälv Löpning","31.14","2,254","02:57:20","119","146","3.8","156","169","5:42","4:10","284","325","1.12","--","--","--","--","0.0","27,698","17.0","Nej","00:01:01.0","32","28.0","--","--","--","02:53:27","02:57:20","8","82"
Löpning,2025-09-13 09:03:28,false,"Kungälv Löpning","6.08","494","00:48:22","113","164","2.4","127","200","7:57","2:57","169","177","0.99","--","--","--","--","0.0","6,324","17.0","Nej","00:00:24.5","24","26.0","--","--","--","00:39:44","00:48:22","36","69"
Löpning,2025-09-11 16:48:45,false,"Kungälv Löpning","11.02","788","00:53:19","137","166","3.7","154","174","4:50","3:32","73","73","1.32","--","--","--","--","0.0","8,278","24.0","Nej","00:00:23.6","12","29.0","--","--","--","00:50:56","00:53:19","2","41"
Löpning,2025-09-10 19:46:22,false,"Kungälv Löpning","11.29","796","00:51:57","138","158","3.6","163","172","4:36","3:53","111","125","1.33","--","--","--","--","0.0","8,462","23.0","Nej","00:01:17.3","12","30.0","--","--","--","00:51:49","00:51:57","36","104"
Löpning,2025-09-08 17:59:26,false,"Kungälv Löpning","16.37","1,208","01:34:12","129","169","3.8","134","200","5:45","2:40","150","145","1.28","--","--","--","--","0.0","12,924","23.0","Nej","00:01:00.5","21","29.0","--","--","--","01:19:26","01:34:12","11","63"
Löpning,2025-09-06 17:38:43,false,"Kungälv Löpning","24.19","1,713","01:48:59","146","163","4.6","166","177","4:30","3:48","195","195","1.34","--","--","--","--","0.0","18,030","23.0","Nej","00:01:08.0","25","29.0","--","--","--","01:48:10","01:48:59","1","82"
Löpning,2025-09-05 12:02:36,false,"Kungälv - Bas","7.49","534","00:36:36","133","157","2.9","162","170","4:53","4:00","86","68","1.27","--","--","--","--","0.0","5,914","20.0","Nej","00:02:21.5","8","28.0","--","--","--","00:36:16","00:36:36","5","39"
Löpning,2025-09-03 18:09:57,false,"Kungälv Löpning","6.87","542","00:55:53","112","169","2.6","97","222","8:08","2:26","86","72","1.19","--","--","--","--","0.0","5,916","24.0","Nej","00:00:32.6","33","27.0","--","--","--","00:39:52","00:55:55","8","49"
Löpning,2025-09-03 12:03:56,false,"Kungälv Löpning","7.61","538","00:37:07","134","146","3.0","160","169","4:52","3:58","89","61","1.28","--","--","--","--","0.0","5,974","25.0","Nej","00:03:05.9","8","28.0","--","--","--","00:36:42","00:37:07","9","40"
Löpning,2025-09-02 12:01:55,false,"Kungälv - Bas","7.54","528","00:37:02","131","143","2.8","162","169","4:55","4:13","60","59","1.26","--","--","--","--","0.0","5,988","24.0","Nej","00:02:34.8","8","29.0","--","--","--","00:36:44","00:37:02","11","40"
Löpning,2025-09-01 16:24:52,false,"Kungälv Löpning","11.40","794","00:58:03","126","146","3.0","158","166","5:06","4:02","100","98","1.24","--","--","--","--","0.0","9,174","26.0","Nej","00:02:11.8","12","30.0","--","--","--","00:57:19","00:58:03","21","83"
Löpning,2025-09-01 12:04:27,false,"Kungälv Löpning","7.53","520","00:37:48","128","140","2.6","160","168","5:01","3:58","58","64","1.24","--","--","--","--","0.0","6,052","27.0","Nej","00:02:42.0","8","33.0","--","--","--","00:37:38","00:37:48","-8","22"
Löpning,2025-08-30 07:58:27,false,"Kungälv Löpning","30.06","2,195","02:28:02","140","158","4.8","161","172","4:56","4:01","230","230","1.26","--","--","--","--","0.0","23,870","21.0","Nej","00:00:20.1","31","30.0","--","--","--","02:26:09","02:28:02","-0","84"
Löpning,2025-08-29 11:58:12,false,"Kungälv - Bas","7.57","545","00:37:59","134","150","3.0","157","169","5:01","4:02","78","66","1.27","--","--","--","--","0.0","5,970","25.0","Nej","00:02:44.3","8","30.0","--","--","--","00:36:58","00:37:59","3","38"
Löpning,2025-08-28 18:10:25,false,"Kungälv Löpning","8.02","666","01:00:32","119","171","3.1","101","214","7:33","2:55","163","77","1.21","--","--","--","--","0.0","6,642","25.0","Nej","00:00:13.5","36","31.0","--","--","--","00:43:11","01:02:06","21","65"
Löpning,2025-08-27 18:17:14,false,"Kungälv Löpning","10.06","761","00:56:57","134","165","3.7","136","211","5:40","3:29","71","70","1.25","--","--","--","--","0.0","7,936","21.0","Nej","00:01:30","15","27.0","--","--","--","00:49:52","00:56:57","39","68"
Löpning,2025-08-27 12:02:13,false,"Kungälv Löpning","7.55","549","00:36:31","138","149","3.1","162","173","4:50","3:45","76","60","1.28","--","--","--","--","0.0","5,902","23.0","Nej","00:02:37.6","8","28.0","--","--","--","00:36:25","00:36:31","7","42"
Löpning,2025-08-26 12:00:26,false,"Kungälv - Bas","7.57","542","00:36:26","136","149","3.1","162","172","4:49","4:08","89","67","1.28","--","--","--","--","0.0","5,888","23.0","Nej","00:02:44.4","8","28.0","--","--","--","00:36:25","00:36:26","1","41"
Löpning,2025-08-25 19:09:24,false,"Kungälv Löpning","0.88","74","00:05:14.1","132","145","1.2","154","158","5:55","5:01","30","4","1.10","--","--","--","--","0.0","798","23.0","Nej","00:05:14.1","1","28.0","--","--","--","00:05:14","00:05:14.1","17","48"
Löpning,2025-08-25 18:34:13,false,"Kungälv Löpning","5.00","348","00:18:11","165","177","3.7","168","180","3:38","3:25","11","7","1.66","--","--","--","--","0.0","3,050","24.0","Nej","00:00:12.7","6","28.0","--","--","--","00:18:08","00:18:11","21","26"
Löpning,2025-08-25 18:02:00,false,"Kungälv Löpning","3.06","257","00:24:11","107","143","2.0","115","192","7:53","2:55","60","86","1.15","--","--","--","--","0.0","2,986","22.0","Nej","00:01:06.6","4","29.0","--","--","--","00:18:59","00:24:11","12","51"
Löpning,2025-08-24 07:46:34,false,"Kungälv Löpning","21.97","1,602","01:40:54","147","167","4.8","165","173","4:36","3:59","192","184","1.32","--","--","--","--","0.0","16,604","17.0","Nej","00:04:17.0","22","30.0","--","--","--","01:40:48","01:40:54","8","87"
Löpning,2025-08-22 11:58:14,false,"Kungälv - Bas","7.53","565","00:37:38","138","152","3.2","159","169","5:00","4:02","57","68","1.26","--","--","--","--","0.0","6,006","22.0","Nej","00:02:37.9","8","29.0","--","--","--","00:37:08","00:37:38","4","42"
Löpning,2025-08-21 16:28:53,false,"Kungälv Löpning","6.10","496","00:34:52","136","167","3.0","151","231","5:43","3:15","171","176","1.16","--","--","--","--","0.0","5,348","19.0","Nej","00:00:23.9","33","25.0","--","--","--","00:33:43","00:34:52","19","69"
Löpning,2025-08-20 18:19:21,false,"Kungälv Löpning","9.62","785","01:05:06","132","182","3.6","110","231","6:46","2:15","112","106","1.23","--","--","--","--","0.0","7,528","21.0","Nej","00:00:00.9","20","30.0","--","--","--","00:47:28","01:05:06","1","50"
Löpning,2025-08-20 11:57:25,false,"Kungälv - Bas","7.60","560","00:37:51","136","149","3.1","158","175","4:59","4:13","63","66","1.28","--","--","--","--","0.0","5,990","23.0","Nej","00:02:58.5","8","29.0","--","--","--","00:36:47","00:37:51","8","44"
Löpning,2025-08-18 17:57:02,false,"Kungälv Löpning","14.33","1,076","01:22:26","130","171","3.6","147","179","5:45","3:31","217","205","1.17","--","--","--","--","0.0","12,274","23.0","Nej","00:02:03.7","16","30.0","--","--","--","01:18:08","01:47:39","9","70"
Löpning,2025-08-16 08:45:44,false,"Kungälv Löpning","30.14","2,288","02:39:21","143","162","4.7","159","169","5:17","4:31","266","263","1.19","--","--","--","--","0.0","25,316","22.0","Nej","00:00:45.1","31","32.0","--","--","--","02:38:37","02:41:00","8","84"
Löpning,2025-08-14 17:21:05,false,"Kungälv Löpning","10.17","838","01:05:14","129","171","3.6","124","173","6:25","3:29","48","48","1.20","--","--","--","--","0.0","8,396","26.0","Nej","00:00:05.9","23","32.0","--","--","--","00:53:35","01:11:27","17","43"
Löpning,2025-08-11 16:24:27,false,"Kungälv Löpning","11.28","800","00:51:24","140","163","3.9","162","186","4:33","3:15","82","97","1.34","--","--","--","--","0.0","8,322","20.0","Nej","00:00:27.3","16","29.0","--","--","--","00:51:12","00:51:24","4","82"
Löpning,2025-08-09 09:35:19,false,"Kungälv Löpning","25.08","1,825","01:54:48","147","162","5.0","164","176","4:35","3:59","174","173","1.32","--","--","--","--","0.0","19,012","22.0","Nej","00:00:26.8","26","30.0","--","--","--","01:53:47","01:54:48","-4","43"
Löpning,2025-08-08 18:19:47,false,"Kungälv Löpning","11.37","779","00:54:48","129","146","3.2","161","174","4:49","3:51","111","88","1.29","--","--","--","--","0.0","8,890","25.0","Nej","00:01:48.9","12","29.0","--","--","--","00:54:01","00:54:48","25","86"
Löpning,2025-08-07 19:14:50,false,"Kungälv Löpning","8.67","618","00:41:18","133","169","3.4","163","177","4:46","3:32","47","53","1.28","--","--","--","--","0.0","6,778","19.0","Nej","00:03:43.7","9","29.0","--","--","--","00:41:04","00:41:18","-4","41"
Löpning,2025-08-06 18:16:07,false,"Kungälv Löpning","11.07","859","01:10:02","126","172","3.7","118","222","6:20","1:53","147","148","1.28","--","--","--","--","0.0","8,730","21.0","Nej","00:01:00","20","27.0","--","--","--","00:51:53","01:10:02","10","54"
Löpning,2025-08-05 17:00:37,false,"Kungälv - Tröskel","9.97","705","00:43:09","147","164","4.0","168","183","4:20","3:25","84","158","1.37","--","--","--","--","0.0","7,240","19.0","Nej","00:00:16.2","12","30.0","--","--","--","00:43:07","00:43:09","11","60"
Löpning,2025-08-04 16:55:21,false,"Kungälv Löpning","10.64","791","01:02:51","125","164","3.1","140","235","5:54","3:02","209","206","1.20","--","--","--","--","0.0","9,080","22.0","Nej","00:00:30","28","30.0","--","--","--","00:56:51","01:03:36","59","117"
Löpning,2025-08-02 16:13:13,false,"Varberg Löpning","11.01","774","00:54:21","129","143","3.2","160","168","4:56","4:23","61","67","1.26","--","--","--","--","0.0","8,750","27.0","Nej","00:00:08.2","12","34.0","--","--","--","00:53:11","00:54:21","-2","30"
Löpning,2025-08-01 08:00:04,false,"Varberg - Bas","16.93","1,209","01:24:36","128","144","3.5","161","170","5:00","4:21","81","79","1.24","--","--","--","--","0.0","13,638","25.0","Nej","00:04:40.1","17","30.0","--","--","--","01:24:06","01:24:36","-6","13"
Löpning,2025-07-31 17:01:49,false,"Varberg - Bas","10.24","771","00:56:23","130","148","3.2","141","231","5:30","4:02","52","46","1.29","--","--","--","--","0.0","8,294","27.0","Nej","00:01:13.2","11","32.0","--","--","--","00:52:37","00:56:23","4","28"
Löpning,2025-07-30 10:43:24,false,"Varberg Löpning","11.32","893","01:07:20","131","171","3.7","134","200","5:57","2:51","100","104","1.24","--","--","--","--","0.0","9,274","26.0","Nej","00:00:29.6","38","30.0","--","--","--","01:00:31","01:07:20","-2","40"
Löpning,2025-07-29 12:36:05,false,"Varberg Löpning","11.16","794","01:02:29","119","143","3.0","154","169","5:36","4:40","106","97","1.16","--","--","--","--","0.0","9,706","28.0","Nej","00:00:58.2","12","32.0","--","--","--","01:00:58","01:08:27","-5","39"
Löpning,2025-07-28 17:33:54,false,"Varberg Löpning","9.40","684","00:47:05","136","165","3.3","159","172","5:01","3:38","48","46","1.25","--","--","--","--","0.0","7,482","28.0","Nej","00:02:05.9","10","32.0","--","--","--","00:46:44","00:47:05","3","15"
Löpning,2025-07-26 10:49:42,false,"Kungälv Löpning","26.33","1,929","01:59:33","151","165","5.0","166","173","4:32","4:02","192","192","1.33","--","--","--","--","0.0","19,752","27.0","Nej","00:01:39.1","27","32.0","--","--","--","01:59:18","01:59:33","-2","41"
Löpning,2025-07-23 18:06:23,false,"Kungälv Löpning","11.49","827","01:14:38","118","171","3.4","119","214","6:30","2:59","70","76","1.22","--","--","--","--","0.0","9,454","23.0","Nej","00:00:44.7","23","31.0","--","--","--","01:01:13","01:14:38","11","41"
Löpning,2025-07-22 20:07:34,false,"Kungälv Löpning","9.29","663","00:49:41","126","147","2.9","158","198","5:21","4:38","81","82","1.19","--","--","--","--","0.0","7,858","29.0","Nej","00:01:29.7","10","33.0","--","--","--","00:49:06","00:49:41","1","48"
Löpning,2025-07-22 08:29:14,false,"Kungälv - Bas","9.91","746","00:54:15","132","146","3.1","162","168","5:28","4:47","79","80","1.13","--","--","--","--","0.0","8,792","26.0","Nej","00:01:00.1","11","31.0","--","--","--","00:54:09","00:54:15","17","58"
Löpning,2025-07-21 18:18:42,false,"Kungälv Löpning","10.26","763","00:56:32","130","166","3.6","149","181","5:31","3:26","135","140","1.21","--","--","--","--","0.0","8,436","25.0","Nej","00:01:28.5","12","31.0","--","--","--","00:51:59","00:57:01","13","67"
Löpning,2025-07-19 17:53:43,false,"Kungälv Löpning","24.20","1,798","02:20:57","127","147","3.9","151","217","5:50","4:41","235","212","1.13","--","--","--","--","0.0","21,436","29.0","Nej","00:01:08.4","25","35.0","--","--","--","02:17:15","02:26:43","2","88"
Löpning,2025-07-15 17:09:39,false,"Kungälv Löpning","9.98","743","00:52:25","135","169","3.4","144","202","5:15","2:45","169","149","1.29","--","--","--","--","0.0","7,716","23.0","Nej","00:00:17.1","30","30.0","--","--","--","00:48:18","00:52:25","16","46"
Löpning,2025-07-15 09:02:37,false,"Kungälv - Bas","10.75","809","00:59:07","132","147","3.1","138","177","5:30","4:42","109","107","1.74","--","--","--","--","0.0","8,306","28.0","Nej","00:00:44.5","12","34.0","--","--","--","00:58:11","00:59:07","23","60"
Löpning,2025-07-14 18:21:33,false,"Kungälv Löpning","10.65","829","01:04:22","129","164","3.4","148","184","6:03","3:22","256","263","1.10","--","--","--","--","0.0","9,600","22.0","Nej","00:03:42.5","12","29.0","--","--","--","01:01:02","01:04:22","7","70"
Löpband,2025-07-14 10:14:11,false,"Bas","7.89","443","00:42:03","118","131","2.0","154","163","5:20","4:21","--","--","1.22","--","--","--","--","0.0","6,442","28.0","Nej","00:00:03.3","9","31.0","--","--","--","00:41:46","00:43:02","--","--"
Löpning,2025-07-13 14:30:20,false,"Kungälv - Tempo","13.15","953","01:02:20","144","163","4.1","157","178","4:44","3:36","129","133","1.34","--","--","--","--","0.0","9,772","28.0","Nej","00:00:13.8","19","30.0","--","--","--","00:59:24","01:02:20","8","83"
Löpning,2025-07-12 12:44:50,false,"Kungälv Löpning","2.65","203","00:18:44","109","142","1.5","124","244","7:04","4:42","28","9","1.14","--","--","--","--","0.0","2,566","28.0","Nej","00:04:33.3","3","31.0","--","--","--","00:16:08","00:18:44","19","43"
Löpning,2025-07-12 10:43:50,false,"Kungälv Löpning","2.56","185","00:14:36","118","133","2.0","148","231","5:42","4:17","13","30","1.19","--","--","--","--","0.0","2,170","27.0","Nej","00:03:34.4","3","32.0","--","--","--","00:13:55","00:14:36","20","44"
Löpning,2025-07-08 17:52:45,false,"Kungälv Löpning","10.57","757","00:58:14","122","140","2.7","158","195","5:30","4:35","109","74","1.15","--","--","--","--","0.0","9,208","22.0","Nej","00:03:36.8","11","30.0","--","--","--","00:57:49","01:14:40","1","44"
Löpning,2025-07-08 10:08:05,false,"Kungälv - Tröskel 3x3km","11.32","824","00:50:56","148","164","4.3","155","173","4:30","3:28","43","45","1.42","--","--","--","--","0.0","7,988","19.0","Nej","00:00:01.5","16","23.0","--","--","--","00:49:02","00:50:56","15","21"
Löpning,2025-07-06 11:56:27,false,"Kungälv Löpning","32.06","2,380","02:55:04","133","164","4.5","156","237","5:28","4:05","282","281","1.17","--","--","--","--","0.0","27,438","24.0","Nej","00:00:22.1","33","28.0","--","--","--","02:51:09","02:55:04","2","85"
Löpning,2025-07-02 18:07:24,false,"Kungälv Löpning","9.46","754","01:13:43","115","171","3.1","108","205","7:48","2:28","117","165","1.14","--","--","--","--","0.0","8,530","28.0","Nej","00:00:29.1","36","31.0","--","--","--","00:55:30","01:14:14","15","48"
Löpning,2025-06-30 18:15:15,false,"Kungälv - Tröskel 3 x 8 min","9.55","701","00:52:54","130","163","3.4","145","190","5:32","3:06","133","137","1.21","--","--","--","--","0.0","7,860","22.0","Nej","00:00:02.6","14","28.0","--","--","--","00:48:57","00:52:54","33","69"
Löpning,2025-06-29 09:23:44,false,"Kungälv Löpning","17.93","1,300","01:34:19","128","151","3.7","159","170","5:16","4:28","196","197","1.19","--","--","--","--","0.0","15,010","22.0","Nej","00:04:47.2","18","30.0","--","--","--","01:32:26","01:34:19","-5","43"
Löpning,2025-06-28 08:54:04,false,"Kungälv Löpning","17.63","1,353","02:11:31","118","164","3.5","130","222","7:28","4:11","312","332","1.02","--","--","--","--","0.0","18,052","20.0","Nej","00:03:36.1","18","29.0","--","--","--","01:57:08","02:11:31","2","72"
Löpning,2025-06-27 16:50:44,false,"Kungälv Löpning","7.58","536","00:39:31","125","152","2.8","159","167","5:13","4:15","158","163","1.21","--","--","--","--","0.0","6,260","24.0","Nej","00:03:11.2","8","30.0","--","--","--","00:39:17","00:39:31","8","55"
Löpning,2025-06-26 12:02:12,false,"Kungälv Löpning","7.61","545","00:38:19","130","145","3.0","155","180","5:02","4:16","59","61","1.28","--","--","--","--","0.0","5,960","23.0","Nej","00:03:04.5","8","29.0","--","--","--","00:37:02","00:38:31","7","41"
Löpning,2025-06-25 18:04:27,false,"Kungälv Löpning","9.46","781","01:13:34","114","169","3.3","105","223","7:47","1:53","190","112","1.18","--","--","--","--","0.0","8,308","26.0","Nej","00:00:29.5","36","32.0","--","--","--","00:53:24","01:13:34","16","52"
Löpning,2025-06-24 11:59:51,false,"Kungälv - Bas","7.58","554","00:37:21","135","149","3.2","159","176","4:56","4:10","84","85","1.28","--","--","--","--","0.0","5,962","23.0","Nej","00:02:53.2","8","28.0","--","--","--","00:36:31","00:37:21","6","41"
Löpning,2025-06-23 18:15:42,false,"Kungälv Löpning","9.47","694","00:49:49","136","164","3.8","144","176","5:15","3:32","117","114","1.28","--","--","--","--","0.0","7,290","20.0","Nej","00:01:00.2","15","28.0","--","--","--","00:45:27","00:49:49","41","72"
Löpning,2025-06-22 07:55:56,false,"Kungälv Löpning","31.90","2,369","02:55:08","132","159","4.8","152","171","5:29","4:25","301","292","1.19","--","--","--","--","0.0","26,796","24.0","Nej","00:04:44.2","32","29.0","--","--","--","02:46:03","02:55:08","5","86"
Löpning,2025-06-19 12:01:04,false,"Kungälv Löpning","7.57","561","00:37:37","137","161","3.3","154","171","4:58","4:02","109","64","1.31","--","--","--","--","0.0","5,840","25.0","Nej","00:02:41.2","8","30.0","--","--","--","00:35:50","00:39:16","-0","41"
Löpning,2025-06-18 18:12:32,false,"Kungälv Löpning","8.99","702","00:57:31","127","189","3.8","116","214","6:24","2:56","122","106","1.26","--","--","--","--","0.0","7,118","22.0","Nej","00:00:45","20","26.0","--","--","--","00:45:22","00:57:31","11","52"
Löpning,2025-06-17 12:02:37,false,"Kungälv - Bas","7.66","545","00:36:46","134","149","3.3","160","173","4:48","4:14","63","61","1.30","--","--","--","--","0.0","5,876","22.0","Nej","00:00:46.3","9","28.0","--","--","--","00:36:29","00:36:46","8","42"
Löpning,2025-06-16 16:32:04,false,"Kungälv - Tröskel 3x3km","13.93","985","01:03:38","141","163","4.6","160","174","4:34","3:36","143","152","1.36","--","--","--","--","0.0","10,208","24.0","Nej","00:00:11.3","18","30.0","--","--","--","01:02:38","01:03:38","6","72"
Löpning,2025-06-14 13:15:01,false,"Kungälv Löpning","10.00","734","00:38:50","166","178","5.0","165","176","3:53","3:23","46","48","1.56","--","--","--","--","0.0","6,404","28.0","Nej","00:03:38.1","10","33.0","--","--","--","00:38:41","00:38:50","2","20"
Löpning,2025-06-14 12:03:12,false,"Kungälv Löpning","1.15","98","00:08:24.5","112","129","1.5","118","162","7:20","4:46","3","5","1.16","--","--","--","--","0.0","1,054","29.0","Nej","00:02:43.1","2","32.0","--","--","--","00:06:16","00:08:24.5","16","28"
Löpband,2025-06-11 20:26:56,false,"60 min löppning","10.16","557","00:50:42","126","160","3.0","156","167","4:59","4:04","--","--","1.28","--","--","--","--","0.0","7,832","28.0","Nej","00:00:41.7","13","31.0","--","--","--","00:50:20","00:50:42","--","--"
Löpning,2025-06-10 12:00:13,false,"Kungälv Löpning","7.57","587","00:38:24","142","160","3.5","156","167","5:04","4:23","60","97","1.27","--","--","--","--","0.0","5,994","17.0","Nej","00:02:47.1","8","27.0","--","--","--","00:37:24","00:38:24","11","46"
Löpning,2025-06-09 18:17:52,false,"Kungälv Löpning","11.23","853","01:09:58","123","172","3.2","150","177","6:14","3:44","264","263","1.07","--","--","--","--","0.0","10,618","20.0","Nej","00:01:12.4","12","25.0","--","--","--","01:08:46","01:09:58","13","72"
Löpning,2025-06-08 09:40:06,false,"Kungälv Löpning","19.45","1,515","01:35:46","154","172","5.0","157","165","4:55","4:13","171","171","1.30","--","--","--","--","0.0","15,016","20.0","Nej","00:02:31.6","20","28.0","--","--","--","01:34:27","01:35:46","7","83"
Löpning,2025-06-04 11:58:54,false,"Kungälv Löpning","7.55","578","00:35:50","148","167","3.7","156","167","4:45","4:00","68","111","1.35","--","--","--","--","0.0","5,650","23.0","Nej","00:02:35.7","8","28.0","--","--","--","00:34:51","00:35:50","1","44"
Löpning,2025-05-26 16:15:24,false,"Kungälv - Tröskel 3 x 8 min","11.11","819","00:51:48","146","172","4.0","159","170","4:40","3:41","83","94","1.34","--","--","--","--","0.0","8,226","21.0","Nej","00:00:19.5","14","26.0","--","--","--","00:51:31","00:51:48","13","83"
Löpning,2025-05-26 11:58:20,false,"Kungälv - Bas","7.54","553","00:36:31","136","150","3.2","159","165","4:51","4:17","63","81","1.30","--","--","--","--","0.0","5,788","22.0","Nej","00:02:40.2","8","29.0","--","--","--","00:36:29","00:36:31","5","40"
Löpning,2025-05-17 13:01:15,false,"Göteborg Löpning","21.36","1,563","01:24:53","166","175","5.0","167","183","3:58","3:05","200","207","1.51","--","--","--","--","0.0","14,142","20.0","Nej","00:01:15.4","22","29.0","--","--","--","01:24:45","01:25:20","-19","44"
Löpning,2025-05-17 11:55:30,false,"Göteborg Löpning","4.38","352","00:24:36","135","158","2.5","143","194","5:37","4:08","30","16","1.26","--","--","--","--","0.0","3,816","23.0","Nej","00:02:55.1","5","27.0","--","--","--","00:24:26","00:37:24","43","52"
Löpning,2025-05-14 11:59:07,false,"Kungälv Löpning","7.56","524","00:37:50","126","136","2.7","159","172","5:00","4:14","67","71","1.26","--","--","--","--","0.0","6,004","19.0","Nej","00:02:44.9","8","28.0","--","--","--","00:37:48","00:37:50","13","50"
Löpning,2025-05-12 18:15:51,false,"Kungälv Löpning","11.61","851","00:54:28","140","173","4.0","159","231","4:42","3:15","48","53","1.33","--","--","--","--","0.0","8,674","22.0","Nej","00:00:12.4","14","26.0","--","--","--","00:54:03","00:54:31","-4","17"
Löpning,2025-05-11 08:46:15,false,"Kungälv Löpning","13.87","996","00:59:13","151","177","4.9","163","178","4:16","3:27","96","96","1.44","--","--","--","--","0.0","9,696","16.0","Nej","00:03:19.1","14","20.0","21","21","21","00:57:56","00:59:13","-2","34"
Löpning,2025-05-08 16:31:14,false,"Kungälv - Intervall 8 x 3 min","12.00","871","00:57:17","140","170","4.0","152","190","4:46","3:08","78","74","1.34","--","--","--","--","0.0","8,914","24.0","Nej","00:00:10.8","21","30.0","--","--","--","00:56:50","00:57:17","-40","-18"
Löpning,2025-05-05 20:07:22,false,"Kungälv - Tröskel 3x3km","12.32","868","00:54:46","145","162","4.1","164","180","4:27","3:35","124","139","1.37","--","--","--","--","0.0","8,938","16.0","Nej","00:00:19.0","16","27.0","--","--","--","00:54:44","00:54:46","4","91"
Löpning,2025-05-03 17:48:29,false,"Kungälv Löpning","21.02","1,455","01:33:58","141","171","4.9","163","178","4:28","3:29","148","152","1.37","--","--","--","--","0.0","15,290","15.0","Nej","00:00:07.7","22","22.0","--","--","--","01:32:23","01:33:58","-1","35"
Löpning,2025-05-02 11:53:04,false,"Kungälv Löpning","7.56","543","00:36:32","133","154","3.1","158","168","4:50","4:16","74","75","1.31","--","--","--","--","0.0","5,788","20.0","Nej","00:02:41.0","8","28.0","--","--","--","00:35:59","00:36:32","7","41"
